transaction_type,transaction_amount,transaction_date,transaction_note,category,subcategory
Income,769.45,2021-11-21 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,246.07,2020-06-13 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Income,632.04,2021-05-31 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,488.89,2019-02-28 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,692.58,2019-12-16 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,648.4,2023-11-05 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,617.72,2021-05-03 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,685.25,2021-07-01 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,142.53,2023-10-27 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,364.54,2023-07-14 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,584.66,2023-02-16 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,386.7,2020-01-12 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,30.56,2021-05-24 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,532.05,2023-07-03 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,93.75,2023-04-03 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,153.7,2023-08-25 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,767.12,2021-03-19 21:27:32.494381,Transaction for Books,Education,Books
Income,707.55,2023-11-05 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,990.19,2019-05-27 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,49.83,2023-04-09 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,744.7,2021-09-15 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,832.38,2022-02-07 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,934.75,2023-03-20 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,543.73,2022-05-13 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,139.56,2020-04-01 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,392.55,2019-02-12 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Income,774.32,2023-05-28 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,320.76,2019-10-27 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,92.18,2023-12-22 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,920.26,2021-01-13 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,857.51,2022-05-16 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,779.76,2021-09-23 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,377.08,2022-06-10 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,896.78,2022-08-14 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,327.8,2019-06-29 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,155.7,2019-04-10 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,264.21,2020-03-22 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,504.45,2022-12-01 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Income,887.63,2022-04-23 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,859.23,2019-07-07 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,154.02,2023-03-10 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,899.22,2019-05-11 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,936.48,2019-06-01 21:27:32.494381,Transaction for Supplies,Education,Supplies
Income,653.21,2021-07-21 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,875.99,2021-01-29 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,301.13,2022-12-25 21:27:32.494381,Transaction for Internet,Bill & Utilities,Internet
Expense,366.81,2021-08-03 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Expense,158.49,2022-07-19 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,551.42,2020-11-26 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,856.56,2022-06-28 21:27:32.494381,Transaction for Alimony,Family,Alimony
Expense,917.96,2019-03-18 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Income,904.39,2021-06-01 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,652.45,2024-01-30 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,941.07,2023-02-19 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,216.71,2022-05-06 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,675.0,2020-12-01 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,482.59,2019-10-30 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,876.64,2023-12-17 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,702.87,2021-12-12 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,360.78,2019-03-09 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,209.81,2023-09-20 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,300.1,2021-06-02 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,404.84,2021-07-25 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,23.43,2020-11-17 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,664.03,2019-09-02 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,949.55,2022-10-04 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Expense,731.18,2020-09-29 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,164.21,2020-12-03 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,190.24,2021-11-05 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Expense,914.44,2023-05-27 21:27:32.494381,Transaction for Bonds,Investment,Bonds
Expense,845.97,2020-02-08 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,448.26,2022-11-06 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Expense,483.5,2020-09-07 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,545.58,2021-01-05 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,662.7,2022-07-15 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,174.5,2022-03-05 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,896.73,2019-08-25 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,412.25,2022-01-23 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,220.65,2021-06-01 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,557.8,2022-03-15 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,262.88,2023-11-01 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,830.06,2020-09-16 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,984.63,2023-01-26 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,811.21,2023-06-05 21:27:32.494381,Transaction for Clothing,Shopping,Clothing
Expense,244.4,2022-10-18 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Expense,836.79,2022-02-07 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Expense,774.63,2020-05-05 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Expense,52.62,2022-07-04 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Expense,542.61,2023-06-07 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,42.91,2020-03-06 21:27:32.494381,Transaction for Childcare,Family,Childcare
Income,457.97,2021-07-27 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,887.6,2021-03-28 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,355.06,2020-04-11 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,657.95,2020-06-22 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,382.46,2023-10-22 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
